Recall@1,Recall@3,Recall@5,Recall@10,Recall@20,Recall@30,Recall@50,Recall@100,type
0.12,0.17,0.21,0.27,0.29,0.32,0.38,0.44,name_preds
0.01,0.02,0.04,0.04,0.14,0.17,0.2,0.28,taxonomy_preds
0.0,0.0,0.02,0.04,0.06,0.07,0.09,0.1,co_purchase_preds
0.0,0.01,0.03,0.03,0.04,0.06,0.08,0.13,search_preds
0.05,0.11,0.12,0.16,0.22,0.23,0.29,0.4,full_preds
0.34,0.52,0.6,0.69,0.76,0.8,0.84,0.88,bm25_name_preds
0.33,0.51,0.58,0.72,0.77,0.78,0.85,0.88,bm25_name_taxonomy_preds
0.17,0.26,0.34,0.48,0.63,0.7,0.75,0.85,bm25_full_preds
0.06,0.12,0.16,0.22,0.23,0.27,0.37,0.49,nlp_preds
0.17,0.29,0.38,0.49,0.66,0.73,0.81,0.88,bm25_nlp_preds
